ModelID;ArtikelID;Merk;Model;TekstAlgemeen;TekstMaat;TekstAssortimentsprijsPerStuk;URL;Afbeelding-links;Product Code;Ean;Kleur;Maat;Voorraad;BrutoPrijs excl. btw;Korting;#Prijs klant excl. btw;Adviesprijs incl. btw;Outlet;Retourrecht;
"60763";"481619";"Puma";"Puma Safety Blaze Knit 643060 Laag S1P";"Bescherming: Kunstofkap en flexibele FAP® tussenzool, metaalvrij, Ademenve BreathActive functionele voering, Evercushion® BA binnenzool, Rubberen Urban zool me IdCELL en Rotation Point system, Hittebestendig tot 300°C.<br/>Safety Knit";"39 t/m 47";"";"https://www.roerdink.nl/nl/winkel/1_schoenenveiligheid/3_laags1s2s3/60763_puma-safety-blaze-knit-643060-laag-s1p.html";"https://www.roerdink.nl/write/assets/modellen/0060763/0060763_0_Large.jpg";="00.080.021.39";="4051428060011";"Blauw";"39";"8";"€ 96,95";"25,00";"€ 72,71";"€ 117,99";"Nee";"Ja";
"60763";"481620";"Puma";"Puma Safety Blaze Knit 643060 Laag S1P";"Bescherming: Kunstofkap en flexibele FAP® tussenzool, metaalvrij, Ademenve BreathActive functionele voering, Evercushion® BA binnenzool, Rubberen Urban zool me IdCELL en Rotation Point system, Hittebestendig tot 300°C.<br/>Safety Knit";"39 t/m 47";"";"https://www.roerdink.nl/nl/winkel/1_schoenenveiligheid/3_laags1s2s3/60763_puma-safety-blaze-knit-643060-laag-s1p.html";"https://www.roerdink.nl/write/assets/modellen/0060763/0060763_0_Large.jpg";="00.080.021.40";="4051428060028";"Blauw";"40";"6";"€ 96,95";"25,00";"€ 72,71";"€ 117,99";"Nee";"Ja";
"60763";"481621";"Puma";"Puma Safety Blaze Knit 643060 Laag S1P";"Bescherming: Kunstofkap en flexibele FAP® tussenzool, metaalvrij, Ademenve BreathActive functionele voering, Evercushion® BA binnenzool, Rubberen Urban zool me IdCELL en Rotation Point system, Hittebestendig tot 300°C.<br/>Safety Knit";"39 t/m 47";"";"https://www.roerdink.nl/nl/winkel/1_schoenenveiligheid/3_laags1s2s3/60763_puma-safety-blaze-knit-643060-laag-s1p.html";"https://www.roerdink.nl/write/assets/modellen/0060763/0060763_0_Large.jpg";="00.080.021.41";="4051428060035";"Blauw";"41";"2";"€ 96,95";"25,00";"€ 72,71";"€ 117,99";"Nee";"Ja";
"60763";"481622";"Puma";"Puma Safety Blaze Knit 643060 Laag S1P";"Bescherming: Kunstofkap en flexibele FAP® tussenzool, metaalvrij, Ademenve BreathActive functionele voering, Evercushion® BA binnenzool, Rubberen Urban zool me IdCELL en Rotation Point system, Hittebestendig tot 300°C.<br/>Safety Knit";"39 t/m 47";"";"https://www.roerdink.nl/nl/winkel/1_schoenenveiligheid/3_laags1s2s3/60763_puma-safety-blaze-knit-643060-laag-s1p.html";"https://www.roerdink.nl/write/assets/modellen/0060763/0060763_0_Large.jpg";="00.080.021.42";="4051428060042";"Blauw";"42";"3";"€ 96,95";"25,00";"€ 72,71";"€ 117,99";"Nee";"Ja";
"60763";"481623";"Puma";"Puma Safety Blaze Knit 643060 Laag S1P";"Bescherming: Kunstofkap en flexibele FAP® tussenzool, metaalvrij, Ademenve BreathActive functionele voering, Evercushion® BA binnenzool, Rubberen Urban zool me IdCELL en Rotation Point system, Hittebestendig tot 300°C.<br/>Safety Knit";"39 t/m 47";"";"https://www.roerdink.nl/nl/winkel/1_schoenenveiligheid/3_laags1s2s3/60763_puma-safety-blaze-knit-643060-laag-s1p.html";"https://www.roerdink.nl/write/assets/modellen/0060763/0060763_0_Large.jpg";="00.080.021.43";="4051428060059";"Blauw";"43";"5";"€ 96,95";"25,00";"€ 72,71";"€ 117,99";"Nee";"Ja";
"60763";"481624";"Puma";"Puma Safety Blaze Knit 643060 Laag S1P";"Bescherming: Kunstofkap en flexibele FAP® tussenzool, metaalvrij, Ademenve BreathActive functionele voering, Evercushion® BA binnenzool, Rubberen Urban zool me IdCELL en Rotation Point system, Hittebestendig tot 300°C.<br/>Safety Knit";"39 t/m 47";"";"https://www.roerdink.nl/nl/winkel/1_schoenenveiligheid/3_laags1s2s3/60763_puma-safety-blaze-knit-643060-laag-s1p.html";"https://www.roerdink.nl/write/assets/modellen/0060763/0060763_0_Large.jpg";="00.080.021.44";="4051428060066";"Blauw";"44";"3";"€ 96,95";"25,00";"€ 72,71";"€ 117,99";"Nee";"Ja";
"60763";"481625";"Puma";"Puma Safety Blaze Knit 643060 Laag S1P";"Bescherming: Kunstofkap en flexibele FAP® tussenzool, metaalvrij, Ademenve BreathActive functionele voering, Evercushion® BA binnenzool, Rubberen Urban zool me IdCELL en Rotation Point system, Hittebestendig tot 300°C.<br/>Safety Knit";"39 t/m 47";"";"https://www.roerdink.nl/nl/winkel/1_schoenenveiligheid/3_laags1s2s3/60763_puma-safety-blaze-knit-643060-laag-s1p.html";"https://www.roerdink.nl/write/assets/modellen/0060763/0060763_0_Large.jpg";="00.080.021.45";="4051428060073";"Blauw";"45";"2";"€ 96,95";"25,00";"€ 72,71";"€ 117,99";"Nee";"Ja";
"60763";"481626";"Puma";"Puma Safety Blaze Knit 643060 Laag S1P";"Bescherming: Kunstofkap en flexibele FAP® tussenzool, metaalvrij, Ademenve BreathActive functionele voering, Evercushion® BA binnenzool, Rubberen Urban zool me IdCELL en Rotation Point system, Hittebestendig tot 300°C.<br/>Safety Knit";"39 t/m 47";"";"https://www.roerdink.nl/nl/winkel/1_schoenenveiligheid/3_laags1s2s3/60763_puma-safety-blaze-knit-643060-laag-s1p.html";"https://www.roerdink.nl/write/assets/modellen/0060763/0060763_0_Large.jpg";="00.080.021.46";="4051428060080";"Blauw";"46";"2";"€ 96,95";"25,00";"€ 72,71";"€ 117,99";"Nee";"Ja";
"60763";"481627";"Puma";"Puma Safety Blaze Knit 643060 Laag S1P";"Bescherming: Kunstofkap en flexibele FAP® tussenzool, metaalvrij, Ademenve BreathActive functionele voering, Evercushion® BA binnenzool, Rubberen Urban zool me IdCELL en Rotation Point system, Hittebestendig tot 300°C.<br/>Safety Knit";"39 t/m 47";"";"https://www.roerdink.nl/nl/winkel/1_schoenenveiligheid/3_laags1s2s3/60763_puma-safety-blaze-knit-643060-laag-s1p.html";"https://www.roerdink.nl/write/assets/modellen/0060763/0060763_0_Large.jpg";="00.080.021.47";="4051428060097";"Blauw";"47";"2";"€ 96,95";"25,00";"€ 72,71";"€ 117,99";"Nee";"Ja";
"42365";"284833";"Puma";"Puma Safety Cascades Mid 630210 S3";"Puma Veiligheidsschoenen zeer sportief, modern, kwalitatief hoogstaand, comfortabel, en duurzaam. Hoog model voorzien van Stalen Neus en Stalen Tussenzool.";"39 t/m 47";"N.v.t.";"https://www.roerdink.nl/nl/winkel/1_schoenenveiligheid/1_hoogkruipneus/42365_puma-safety-cascades-mid-630210-s3.html";"https://www.roerdink.nl/write/assets/modellen/0042365/0042365_0_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0042365/0042365_1_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0042365/0042365_2_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0042365/0042365_3_Large.jpg";="11.080.001.39";="4018623808039";"Zwart";"39";"3";"€ 117,95";"25,00";"€ 88,46";"€ 142,99";"Nee";"Ja";
