ModelID;ArtikelID;Merk;Model;TekstAlgemeen;TekstMaat;TekstAssortimentsprijsPerStuk;URL;Afbeelding-links;Product Code;Ean;Kleur;Maat;Voorraad;BrutoPrijs excl. btw;Korting;#Prijs klant excl. btw;Adviesprijs incl. btw;Outlet;Retourrecht;
"13425";"565076";"Sixton";"Sixton 81156-05 Montana (Wol) S3 + KN Laars";"Leren Veiligheidslaars S3 Voering:Gevoerd met  Echte Lamswol. Gevet nubuck leder, Waterafstotend en  Antistatisch. Veiligheid: Neus & Zool.<br/>Metaalvrij.<br/><br/><br/>Veiligheidsnormering: S3 CI SRC<br/>Certificering: EN ISO 12568 & EN ISO 20345<br/>Bovenwerk: Gevet nubuck leder, Hydrotech waterafstotend<br/>Voering: Wol, Dual Micro<br/>Loopzool: PU/PU, SRC<br/>Inlegzool: Dual Insulation<br/>Veiligheidszool: ZERO (k) Antiperforatie<br/>Veiligheidsneus: Composiet<br/>Dynamic HC Control: Ja<br/>Stabil Active: Ja<br/>Metaalvrij: Ja<br/>Overige extra’s: Kruipneus<br/>Wijdte: 10.5<br/>Gewicht: 750 gr<br/>Kleur: Bruin<br/>Collectie: Endurance";"36 t/m 48";"";"https://www.roerdink.nl/nl/winkel/1_schoenenveiligheid/7_laarzen/13425_sixton-81156-05-montana-wol-s3-kn-laars.html";"https://www.roerdink.nl/write/assets/modellen/0013425/0013425_0_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_1_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_2_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_3_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_4_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_5_Large.jpg";="11.091.001.36";="8053470570155";"05 Donkerbruin";"36";"2";"€ 127,95";"35,00";"€ 83,17";"€ 154,99";"Nee";"Ja";
"13425";"565077";"Sixton";"Sixton 81156-05 Montana (Wol) S3 + KN Laars";"Leren Veiligheidslaars S3 Voering:Gevoerd met  Echte Lamswol. Gevet nubuck leder, Waterafstotend en  Antistatisch. Veiligheid: Neus & Zool.<br/>Metaalvrij.<br/><br/><br/>Veiligheidsnormering: S3 CI SRC<br/>Certificering: EN ISO 12568 & EN ISO 20345<br/>Bovenwerk: Gevet nubuck leder, Hydrotech waterafstotend<br/>Voering: Wol, Dual Micro<br/>Loopzool: PU/PU, SRC<br/>Inlegzool: Dual Insulation<br/>Veiligheidszool: ZERO (k) Antiperforatie<br/>Veiligheidsneus: Composiet<br/>Dynamic HC Control: Ja<br/>Stabil Active: Ja<br/>Metaalvrij: Ja<br/>Overige extra’s: Kruipneus<br/>Wijdte: 10.5<br/>Gewicht: 750 gr<br/>Kleur: Bruin<br/>Collectie: Endurance";"36 t/m 48";"";"https://www.roerdink.nl/nl/winkel/1_schoenenveiligheid/7_laarzen/13425_sixton-81156-05-montana-wol-s3-kn-laars.html";"https://www.roerdink.nl/write/assets/modellen/0013425/0013425_0_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_1_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_2_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_3_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_4_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_5_Large.jpg";="11.091.001.37";="8053470570162";"05 Donkerbruin";"37";"0";"€ 127,95";"35,00";"€ 83,17";"€ 154,99";"Nee";"Ja";
"13425";"59910";"Sixton";"Sixton 81156-05 Montana (Wol) S3 + KN Laars";"Leren Veiligheidslaars S3 Voering:Gevoerd met  Echte Lamswol. Gevet nubuck leder, Waterafstotend en  Antistatisch. Veiligheid: Neus & Zool.<br/>Metaalvrij.<br/><br/><br/>Veiligheidsnormering: S3 CI SRC<br/>Certificering: EN ISO 12568 & EN ISO 20345<br/>Bovenwerk: Gevet nubuck leder, Hydrotech waterafstotend<br/>Voering: Wol, Dual Micro<br/>Loopzool: PU/PU, SRC<br/>Inlegzool: Dual Insulation<br/>Veiligheidszool: ZERO (k) Antiperforatie<br/>Veiligheidsneus: Composiet<br/>Dynamic HC Control: Ja<br/>Stabil Active: Ja<br/>Metaalvrij: Ja<br/>Overige extra’s: Kruipneus<br/>Wijdte: 10.5<br/>Gewicht: 750 gr<br/>Kleur: Bruin<br/>Collectie: Endurance";"36 t/m 48";"";"https://www.roerdink.nl/nl/winkel/1_schoenenveiligheid/7_laarzen/13425_sixton-81156-05-montana-wol-s3-kn-laars.html";"https://www.roerdink.nl/write/assets/modellen/0013425/0013425_0_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_1_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_2_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_3_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_4_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_5_Large.jpg";="11.091.001.38";="8033959357958";"05 Donkerbruin";"38";"13";"€ 127,95";"35,00";"€ 83,17";"€ 154,99";"Nee";"Ja";
"13425";"59911";"Sixton";"Sixton 81156-05 Montana (Wol) S3 + KN Laars";"Leren Veiligheidslaars S3 Voering:Gevoerd met  Echte Lamswol. Gevet nubuck leder, Waterafstotend en  Antistatisch. Veiligheid: Neus & Zool.<br/>Metaalvrij.<br/><br/><br/>Veiligheidsnormering: S3 CI SRC<br/>Certificering: EN ISO 12568 & EN ISO 20345<br/>Bovenwerk: Gevet nubuck leder, Hydrotech waterafstotend<br/>Voering: Wol, Dual Micro<br/>Loopzool: PU/PU, SRC<br/>Inlegzool: Dual Insulation<br/>Veiligheidszool: ZERO (k) Antiperforatie<br/>Veiligheidsneus: Composiet<br/>Dynamic HC Control: Ja<br/>Stabil Active: Ja<br/>Metaalvrij: Ja<br/>Overige extra’s: Kruipneus<br/>Wijdte: 10.5<br/>Gewicht: 750 gr<br/>Kleur: Bruin<br/>Collectie: Endurance";"36 t/m 48";"";"https://www.roerdink.nl/nl/winkel/1_schoenenveiligheid/7_laarzen/13425_sixton-81156-05-montana-wol-s3-kn-laars.html";"https://www.roerdink.nl/write/assets/modellen/0013425/0013425_0_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_1_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_2_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_3_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_4_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_5_Large.jpg";="11.091.001.39";="8033959357965";"05 Donkerbruin";"39";"8";"€ 127,95";"35,00";"€ 83,17";"€ 154,99";"Nee";"Ja";
"13425";"59912";"Sixton";"Sixton 81156-05 Montana (Wol) S3 + KN Laars";"Leren Veiligheidslaars S3 Voering:Gevoerd met  Echte Lamswol. Gevet nubuck leder, Waterafstotend en  Antistatisch. Veiligheid: Neus & Zool.<br/>Metaalvrij.<br/><br/><br/>Veiligheidsnormering: S3 CI SRC<br/>Certificering: EN ISO 12568 & EN ISO 20345<br/>Bovenwerk: Gevet nubuck leder, Hydrotech waterafstotend<br/>Voering: Wol, Dual Micro<br/>Loopzool: PU/PU, SRC<br/>Inlegzool: Dual Insulation<br/>Veiligheidszool: ZERO (k) Antiperforatie<br/>Veiligheidsneus: Composiet<br/>Dynamic HC Control: Ja<br/>Stabil Active: Ja<br/>Metaalvrij: Ja<br/>Overige extra’s: Kruipneus<br/>Wijdte: 10.5<br/>Gewicht: 750 gr<br/>Kleur: Bruin<br/>Collectie: Endurance";"36 t/m 48";"";"https://www.roerdink.nl/nl/winkel/1_schoenenveiligheid/7_laarzen/13425_sixton-81156-05-montana-wol-s3-kn-laars.html";"https://www.roerdink.nl/write/assets/modellen/0013425/0013425_0_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_1_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_2_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_3_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_4_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_5_Large.jpg";="11.091.001.40";="8033959357972";"05 Donkerbruin";"40";"11";"€ 127,95";"35,00";"€ 83,17";"€ 154,99";"Nee";"Ja";
"13425";"59913";"Sixton";"Sixton 81156-05 Montana (Wol) S3 + KN Laars";"Leren Veiligheidslaars S3 Voering:Gevoerd met  Echte Lamswol. Gevet nubuck leder, Waterafstotend en  Antistatisch. Veiligheid: Neus & Zool.<br/>Metaalvrij.<br/><br/><br/>Veiligheidsnormering: S3 CI SRC<br/>Certificering: EN ISO 12568 & EN ISO 20345<br/>Bovenwerk: Gevet nubuck leder, Hydrotech waterafstotend<br/>Voering: Wol, Dual Micro<br/>Loopzool: PU/PU, SRC<br/>Inlegzool: Dual Insulation<br/>Veiligheidszool: ZERO (k) Antiperforatie<br/>Veiligheidsneus: Composiet<br/>Dynamic HC Control: Ja<br/>Stabil Active: Ja<br/>Metaalvrij: Ja<br/>Overige extra’s: Kruipneus<br/>Wijdte: 10.5<br/>Gewicht: 750 gr<br/>Kleur: Bruin<br/>Collectie: Endurance";"36 t/m 48";"";"https://www.roerdink.nl/nl/winkel/1_schoenenveiligheid/7_laarzen/13425_sixton-81156-05-montana-wol-s3-kn-laars.html";"https://www.roerdink.nl/write/assets/modellen/0013425/0013425_0_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_1_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_2_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_3_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_4_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_5_Large.jpg";="11.091.001.41";="8033959357989";"05 Donkerbruin";"41";"13";"€ 127,95";"35,00";"€ 83,17";"€ 154,99";"Nee";"Ja";
"13425";"59914";"Sixton";"Sixton 81156-05 Montana (Wol) S3 + KN Laars";"Leren Veiligheidslaars S3 Voering:Gevoerd met  Echte Lamswol. Gevet nubuck leder, Waterafstotend en  Antistatisch. Veiligheid: Neus & Zool.<br/>Metaalvrij.<br/><br/><br/>Veiligheidsnormering: S3 CI SRC<br/>Certificering: EN ISO 12568 & EN ISO 20345<br/>Bovenwerk: Gevet nubuck leder, Hydrotech waterafstotend<br/>Voering: Wol, Dual Micro<br/>Loopzool: PU/PU, SRC<br/>Inlegzool: Dual Insulation<br/>Veiligheidszool: ZERO (k) Antiperforatie<br/>Veiligheidsneus: Composiet<br/>Dynamic HC Control: Ja<br/>Stabil Active: Ja<br/>Metaalvrij: Ja<br/>Overige extra’s: Kruipneus<br/>Wijdte: 10.5<br/>Gewicht: 750 gr<br/>Kleur: Bruin<br/>Collectie: Endurance";"36 t/m 48";"";"https://www.roerdink.nl/nl/winkel/1_schoenenveiligheid/7_laarzen/13425_sixton-81156-05-montana-wol-s3-kn-laars.html";"https://www.roerdink.nl/write/assets/modellen/0013425/0013425_0_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_1_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_2_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_3_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_4_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_5_Large.jpg";="11.091.001.42";="8033959357996";"05 Donkerbruin";"42";"30";"€ 127,95";"35,00";"€ 83,17";"€ 154,99";"Nee";"Ja";
"13425";"59915";"Sixton";"Sixton 81156-05 Montana (Wol) S3 + KN Laars";"Leren Veiligheidslaars S3 Voering:Gevoerd met  Echte Lamswol. Gevet nubuck leder, Waterafstotend en  Antistatisch. Veiligheid: Neus & Zool.<br/>Metaalvrij.<br/><br/><br/>Veiligheidsnormering: S3 CI SRC<br/>Certificering: EN ISO 12568 & EN ISO 20345<br/>Bovenwerk: Gevet nubuck leder, Hydrotech waterafstotend<br/>Voering: Wol, Dual Micro<br/>Loopzool: PU/PU, SRC<br/>Inlegzool: Dual Insulation<br/>Veiligheidszool: ZERO (k) Antiperforatie<br/>Veiligheidsneus: Composiet<br/>Dynamic HC Control: Ja<br/>Stabil Active: Ja<br/>Metaalvrij: Ja<br/>Overige extra’s: Kruipneus<br/>Wijdte: 10.5<br/>Gewicht: 750 gr<br/>Kleur: Bruin<br/>Collectie: Endurance";"36 t/m 48";"";"https://www.roerdink.nl/nl/winkel/1_schoenenveiligheid/7_laarzen/13425_sixton-81156-05-montana-wol-s3-kn-laars.html";"https://www.roerdink.nl/write/assets/modellen/0013425/0013425_0_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_1_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_2_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_3_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_4_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_5_Large.jpg";="11.091.001.43";="8033959358009";"05 Donkerbruin";"43";"30";"€ 127,95";"35,00";"€ 83,17";"€ 154,99";"Nee";"Ja";
"13425";"59916";"Sixton";"Sixton 81156-05 Montana (Wol) S3 + KN Laars";"Leren Veiligheidslaars S3 Voering:Gevoerd met  Echte Lamswol. Gevet nubuck leder, Waterafstotend en  Antistatisch. Veiligheid: Neus & Zool.<br/>Metaalvrij.<br/><br/><br/>Veiligheidsnormering: S3 CI SRC<br/>Certificering: EN ISO 12568 & EN ISO 20345<br/>Bovenwerk: Gevet nubuck leder, Hydrotech waterafstotend<br/>Voering: Wol, Dual Micro<br/>Loopzool: PU/PU, SRC<br/>Inlegzool: Dual Insulation<br/>Veiligheidszool: ZERO (k) Antiperforatie<br/>Veiligheidsneus: Composiet<br/>Dynamic HC Control: Ja<br/>Stabil Active: Ja<br/>Metaalvrij: Ja<br/>Overige extra’s: Kruipneus<br/>Wijdte: 10.5<br/>Gewicht: 750 gr<br/>Kleur: Bruin<br/>Collectie: Endurance";"36 t/m 48";"";"https://www.roerdink.nl/nl/winkel/1_schoenenveiligheid/7_laarzen/13425_sixton-81156-05-montana-wol-s3-kn-laars.html";"https://www.roerdink.nl/write/assets/modellen/0013425/0013425_0_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_1_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_2_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_3_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_4_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_5_Large.jpg";="11.091.001.44";="8033959358016";"05 Donkerbruin";"44";"30";"€ 127,95";"35,00";"€ 83,17";"€ 154,99";"Nee";"Ja";
"13425";"59917";"Sixton";"Sixton 81156-05 Montana (Wol) S3 + KN Laars";"Leren Veiligheidslaars S3 Voering:Gevoerd met  Echte Lamswol. Gevet nubuck leder, Waterafstotend en  Antistatisch. Veiligheid: Neus & Zool.<br/>Metaalvrij.<br/><br/><br/>Veiligheidsnormering: S3 CI SRC<br/>Certificering: EN ISO 12568 & EN ISO 20345<br/>Bovenwerk: Gevet nubuck leder, Hydrotech waterafstotend<br/>Voering: Wol, Dual Micro<br/>Loopzool: PU/PU, SRC<br/>Inlegzool: Dual Insulation<br/>Veiligheidszool: ZERO (k) Antiperforatie<br/>Veiligheidsneus: Composiet<br/>Dynamic HC Control: Ja<br/>Stabil Active: Ja<br/>Metaalvrij: Ja<br/>Overige extra’s: Kruipneus<br/>Wijdte: 10.5<br/>Gewicht: 750 gr<br/>Kleur: Bruin<br/>Collectie: Endurance";"36 t/m 48";"";"https://www.roerdink.nl/nl/winkel/1_schoenenveiligheid/7_laarzen/13425_sixton-81156-05-montana-wol-s3-kn-laars.html";"https://www.roerdink.nl/write/assets/modellen/0013425/0013425_0_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_1_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_2_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_3_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_4_Large.jpg, https://www.roerdink.nl/write/assets/modellen/0013425/0013425_5_Large.jpg";="11.091.001.45";="8033959358023";"05 Donkerbruin";"45";"30";"€ 127,95";"35,00";"€ 83,17";"€ 154,99";"Nee";"Ja";
